wavelength nm,irradiance W/m^2/nm
719.543,0.0108897235
719.876,0.0117387127
720.209,0.0111616768
720.542,0.0126248752
720.875,0.0103896854
721.208,0.0107925449
721.541,0.0106695361
721.874,0.0093226952
722.207,0.0112654272
722.54,0.0099978546
722.872,0.0110204846
723.205,0.010508737
723.538,0.0123188662
723.87,0.0101944109
724.203,0.0111524381
724.535,0.0108737493
724.868,0.0100397062
725.2,0.0123343046
725.532,0.0117467503
725.865,0.0117784462
726.197,0.0116367586
726.529,0.0136515951
726.861,0.011628261
727.193,0.0108633319
727.525,0.0105702695
727.857,0.0116302665
728.189,0.0127006759
728.521,0.011048947
728.853,0.011319592
729.184,0.0126352554
729.516,0.0115247575
729.848,0.012129483
730.179,0.0122316197
730.511,0.0101466098
730.842,0.010659447
731.174,0.0127336338
731.505,0.0112071428
731.836,0.011800933
732.168,0.0138846418
732.499,0.013005494
732.83,0.010724228
733.161,0.012166335
733.492,0.0144426418
733.823,0.0122224518
734.154,0.011414176
734.485,0.0104356435
734.816,0.0127202729
735.147,0.0114883114
735.478,0.0143040922
735.808,0.0124011309
736.139,0.0141285364
736.47,0.0099937109
736.8,0.0095928963
737.131,0.0111441899
737.461,0.0117758034
737.792,0.0135146292
738.122,0.013458773
738.452,0.0133141103
738.782,0.0127434922
739.113,0.0116482702
739.443,0.0094192357
739.773,0.0144792321
740.103,0.0130299875
740.433,0.013752244
740.763,0.0174575081
741.093,0.0119688165
741.423,0.0148909727
741.752,0.0125417813
742.082,0.0129273485
742.412,0.014814794
742.742,0.0144006199
743.071,0.0158629074
743.401,0.0158093021
743.73,0.0128149586
744.06,0.0126658008
744.389,0.0125192968
744.718,0.0139953189
745.048,0.0153897197
745.377,0.0128132465
745.706,0.0134815091
746.035,0.0136041879
746.364,0.0110902035
746.693,0.0144006313
747.022,0.0112289466
747.351,0.0132714664
747.68,0.0145938145
748.009,0.0157341848
748.338,0.0139203489
748.666,0.0144110909
748.995,0.0158285608
749.323,0.0146530193
749.652,0.0131912362
749.981,0.0108005035
750.309,0.0130775733
750.637,0.0132964078
750.966,0.0134209625
751.294,0.0155356159
751.622,0.0156726726
751.95,0.0166546647
752.279,0.0133720706
752.607,0.014656525
752.935,0.0161268913
753.263,0.0115759821
753.591,0.0134328878
753.919,0.0129869866
754.246,0.0132231726
754.574,0.0130739199
754.902,0.0137009756
755.23,0.0136376398
755.557,0.0134770261
755.885,0.0136193328
756.212,0.0129607188
756.54,0.0162563782
756.867,0.0148065464
757.195,0.0109745126
757.522,0.0120990784
757.849,0.0143183237
758.176,0.0134582576
758.503,0.0169021849
758.831,0.015242947
759.158,0.0176179414
759.485,0.0149292035
759.812,0.0149716665
760.138,0.0138933865
760.465,0.0146460913
760.792,0.012843807
761.119,0.0165731135
761.446,0.0156002165
761.772,0.0176064674
762.099,0.0150689913
762.425,0.0141771142
762.752,0.0154682279
763.078,0.0160394944
763.405,0.0116932581
763.731,0.0158277593
764.057,0.0156666292
764.383,0.0155103294
764.71,0.011736144
765.036,0.0167659984
765.362,0.0161736888
765.688,0.0144018504
766.014,0.0154153072
766.34,0.0154528643
766.665,0.0160453433
766.991,0.016860222
767.317,0.0184400746
767.643,0.0178492556
767.968,0.0146294293
768.294,0.0213871484
768.619,0.014080873
768.945,0.0155717724
769.27,0.0155272006
769.596,0.0156903272
769.921,0.0154202267
770.246,0.0157017477
770.572,0.0149681882
770.897,0.0133198623
771.222,0.0175699351
771.547,0.0130784094
771.872,0.0136940042
772.197,0.0154639842
772.522,0.019219533
772.847,0.0175492833
773.171,0.0136682194
773.496,0.0167467969
773.821,0.0156473233
774.146,0.0145424895
774.47,0.0148363061
774.795,0.0166839054
775.119,0.0187720234
775.444,0.0201668241
775.768,0.0167739849
776.092,0.0157546843
776.417,0.0201758019
776.741,0.0205053811
777.065,0.0135106454
777.389,0.0166344929
777.713,0.0166987499
778.037,0.0167737276
778.361,0.0191991114
778.685,0.0161514807
779.009,0.0207288326
779.333,0.0180341424
779.657,0.0181069087
779.98,0.0156548273
780.304,0.0199210348
780.627,0.0197475631
780.951,0.0130256714
781.274,0.013589969
781.598,0.0208658867
781.921,0.0189963164
782.245,0.0163418428
782.568,0.0212301519
782.891,0.0152781461
783.214,0.0174334168
783.537,0.0186637977
783.861,0.0201568643
784.184,0.021658886
784.506,0.0199710404
784.829,0.0186772658
785.152,0.0189662725
785.475,0.0200664371
785.798,0.0178140753
786.12,0.0173055565
786.443,0.0179903858
786.766,0.0205461048
787.088,0.0184235581
787.411,0.0204398082
787.733,0.0201886122
788.056,0.0173859086
788.378,0.0196773874
788.7,0.0151259484
789.022,0.0135217922
789.345,0.0171852742
789.667,0.0194747772
789.989,0.0196348059
790.311,0.0197868532
790.633,0.0152208014
790.955,0.0183556124
791.276,0.0212069032
